model,LCB_generation,coding_completion,connections,paraphrase,plot_unscrambling,story_generation,typos
Qwen2.5-72B-Instruct-Turbo,0.5128205128205128,0.64,0.33166666666666667,0.6551666666666667,0.37146929000255857,0.9150641025641026,0.38
Qwen2.5-7B-Instruct-Turbo,0.3974358974358974,0.37,0.12166666666666666,0.506,0.1588911541802058,0.7227564102564104,0.18
Qwen2.5-Coder-32B-Instruct,0.5769230769230769,0.56,0.2316666666666667,0.5633333333333334,0.26236200110735464,0.8125,0.26
chatgpt-4o-latest-2025-03-27,0.6794871794871795,0.62,0.45666666666666667,0.7296666666666667,0.43709435498112553,0.8076923076923077,0.64
claude-3-5-haiku-20241022,0.48717948717948717,0.54,0.315,0.5921666666666667,0.28947456502521124,0.7836538461538461,0.57
claude-3-5-sonnet-20240620,0.5769230769230769,0.64,0.44083333333333335,0.6793333333333333,0.551438854359075,0.7580128205128205,0.66
claude-3-5-sonnet-20241022,0.6025641025641025,0.74,0.49666666666666665,0.6679999999999999,0.5197434202640155,0.7371794871794872,0.67
claude-3-haiku-20240307,0.2692307692307692,0.22,0.1708333333333333,0.5291666666666667,0.23720210628701294,0.6105769230769231,0.48
claude-3-opus-20240229,0.3717948717948718,0.4,0.35,0.6395000000000001,0.4769531718788148,0.6730769230769231,0.75
command-r-08-2024,0.21794871794871795,0.14,0.12416666666666666,0.6021666666666667,0.17959329292862514,0.6794871794871795,0.37
command-r-plus-04-2024,0.28205128205128205,0.12,0.16,0.55,0.2543194028129597,0.8012820512820512,0.24
command-r-plus-08-2024,0.26282051282051283,0.12,0.21833333333333332,0.5583333333333333,0.23739433496429005,0.6794871794871795,0.47
deepseek-chat,0.421875,0.5,0.2533333333333333,0.5936666666666667,0.3493465650851764,0.7628205128205128,0.36
gemini-1.5-flash-001,0.34615384615384615,0.34,0.18,0.5446666666666666,0.2979972868985392,0.7275641025641026,0.46
gemini-1.5-flash-002,0.3974358974358974,0.44,0.2625,0.8065000000000001,0.31934967828080935,0.8685897435897435,0.28
gemini-1.5-flash-8b-exp-0827,0.2948717948717949,0.28,0.17916666666666667,0.7356666666666666,0.17061384396714557,0.8012820512820512,0.3
gemini-1.5-flash-exp-0827,0.3670886075949367,0.44,0.2833333333333333,0.7361666666666666,0.3462946916068489,0.8637820512820512,0.28
gemini-1.5-pro-001,0.34615384615384615,0.3,0.22,0.644,0.3992232945844993,0.719551282051282,0.56
gemini-1.5-pro-002,0.4358974358974359,0.54,0.38833333333333336,0.743,0.4246427390502653,0.8012820512820512,0.48
gemini-1.5-pro-exp-0827,0.35802469135802467,0.47058823529411764,0.3775,0.721,0.43438590861563525,0.7516025641025641,0.62
gemini-exp-1114,0.475,0.56,0.38833333333333336,0.8051666666666667,0.45148585108010186,0.844551282051282,0.42
gemini-exp-1121,0.475,0.52,0.33166666666666667,0.8095,0.44064895271093707,0.9166666666666666,0.46
gemma-2-27b-it,0.358974358974359,0.36,0.255,0.6351666666666667,0.2802398726627504,0.7900641025641026,0.48
gemma-2-9b-it,0.2692307692307692,0.18,0.19833333333333333,0.5206666666666666,0.21926433772579146,0.6538461538461539,0.38
gpt-4-0125-preview,0.4358974358974359,0.4,0.36666666666666664,0.6143333333333333,0.43493181247705603,0.7099358974358974,0.44
gpt-4-turbo-2024-04-09,0.5,0.48,0.42666666666666664,0.6256666666666666,0.39619290506759064,0.7948717948717949,0.52
gpt-4o-2024-05-13,0.5,0.5,0.4716666666666666,0.6526666666666666,0.4280623123261367,0.7788461538461539,0.66
gpt-4o-2024-08-06,0.44871794871794873,0.58,0.47833333333333333,0.6688333333333334,0.4073636099248765,0.844551282051282,0.61
gpt-4o-2024-11-20,0.46153846153846156,0.46,0.45083333333333336,0.6266666666666666,0.3896995626015987,0.844551282051282,0.62
gpt-4o-mini-2024-07-18,0.4230769230769231,0.44,0.265,0.5735,0.21001248872911987,0.8205128205128205,0.5
grok-3-beta,0.5641025641025641,0.46,0.5941666666666666,0.7295,0.49571583308548367,0.7883333333333333,0.54
mistral-large-2407,0.46153846153846156,0.48,0.2891666666666667,0.6108333333333333,0.40045332545583284,0.7816666666666667,0.5
mistral-small-2402,0.24358974358974358,0.18,0.1691666666666667,0.5663333333333334,0.26499000469530043,0.7933333333333333,0.18
o1-mini-2024-09-12,0.6410256410256411,0.32,0.6658333333333333,0.6659999999999999,0.2073947569560044,0.785,0.48
o1-preview-2024-09-12,0.5769230769230769,0.44,0.9258333333333333,0.7908333333333333,0.5348467927554331,0.9133333333333333,0.66
sonar,0.4230769230769231,0.28,0.39583333333333337,0.7213333333333333,0.44684084771105753,0.9366666666666668,0.5
step-2-16k-202411,0.40384615384615385,0.54,0.4008333333333334,0.8440000000000001,0.38142556461513677,0.9433333333333332,0.54
